"","oceancons","n_items","pic_lt1","pic_lt2","pic_lt3","beach","transect","dd_mm_yyyy","hh_mm_star","hh_mm_end","n_garb_bin","obs","coords.x1","coords.x2","optional"
"1","04","1",NA,NA,NA,"01","1",NA,NA,NA,"0","First shipwreck point",-52.2756171305711,-32.3108660206798,TRUE
"2","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754352309099,-32.3107932389876,TRUE
"3","02","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754352309099,-32.3107932389876,TRUE
"4","10","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754034416452,-32.3107600312189,TRUE
"5","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754133453473,-32.3107747609018,TRUE
"6","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754319758016,-32.3107436822243,TRUE
"7","02","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754396879339,-32.3107218250892,TRUE
"8","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2754386333544,-32.310713868131,TRUE
"9","27","3",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2753622321518,-32.310624490733,TRUE
"10","21","2",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2753308398053,-32.3106325620772,TRUE
"11","08","3","DCIM/20190316135518109.jpg",NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2753392281163,-32.3106318654136,TRUE
"12","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2752955161479,-32.3105836412442,TRUE
"13","04","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2751954628663,-32.3104847661121,TRUE
"14","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2750893798486,-32.3103678560751,TRUE
"15","02","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2750789952883,-32.3103461464767,TRUE
"16","27","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2750716358553,-32.3103397650454,TRUE
"17","08","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2750609437055,-32.3103061139494,TRUE
"18","10","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2749855509402,-32.3102766400476,TRUE
"19","04","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2749063770119,-32.3102190634911,TRUE
"20","10","1",NA,NA,NA,"01","1",NA,NA,NA,"0",NA,-52.2748291622085,-32.310156265144,TRUE
"21","02","1",NA,NA,NA,"01","2",NA,NA,NA,"0","Unique litter in this transect",-52.2717403097596,-32.3065102949917,TRUE
"22","35","1",NA,NA,NA,"01","3",NA,NA,NA,"0","Building material packaging",-52.2697922869819,-32.3031908783266,TRUE
"23","04","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2697399936424,-32.3031371408482,TRUE
"24","10","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2696849689391,-32.3029560309082,TRUE
"25","02","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2696365272925,-32.3029028170901,TRUE
"26","04","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2696055712845,-32.3028870905764,TRUE
"27","10","1",NA,NA,NA,"01","3",NA,NA,NA,"0","Tetrapack",-52.26955860817,-32.3028871478589,TRUE
"28","08","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2695695162354,-32.302838218526,TRUE
"29","02","2",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2695317450584,-32.3028232167176,TRUE
"30","04","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2695176084682,-32.3027684157198,TRUE
"31","27","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2694745261783,-32.3027466955314,TRUE
"32","21","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2693619035199,-32.3025521172735,TRUE
"33","21","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2693498694483,-32.302526728918,TRUE
"34","02","1",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2693151105007,-32.3024914425947,TRUE
"35","21","3",NA,NA,NA,"01","3",NA,NA,NA,"0",NA,-52.2693011767863,-32.3024911928525,TRUE
"36","21","1","DCIM/20190316142321783.jpg",NA,NA,"01","3",NA,NA,NA,"0","Tricolor line",-52.269233889372,-32.302403745992,TRUE
"37","04","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2165874876723,-32.2425593690385,TRUE
"38","32","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2165569721679,-32.2425294165753,TRUE
"39","02","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2165868713257,-32.242522397042,TRUE
"40","02","2",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2165708043204,-32.2424872398348,TRUE
"41","46","1","DCIM/20190316150438050.jpg",NA,NA,"02","1",NA,NA,NA,"0","Cleaner",-52.2165567900238,-32.2424778702202,TRUE
"42","02","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2165515441759,-32.2424897909182,TRUE
"43","04","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2165254357576,-32.2424486155979,TRUE
"44","27","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2164408207974,-32.2424184516242,TRUE
"45","27","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2162690013154,-32.2422649321928,TRUE
"46","21","2",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.216285017329,-32.2422582853183,TRUE
"47","02","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2162456526158,-32.2422288359615,TRUE
"48","23","1","DCIM/20190316151016324.jpg",NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2162169181328,-32.2421755382061,TRUE
"49","27","3",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.216255935123,-32.2419225340849,TRUE
"50","21","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2161863451644,-32.2421466897684,TRUE
"51","02","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2159486790171,-32.2418918746419,TRUE
"52","10","1",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.215866818262,-32.2418485778855,TRUE
"53","21","5",NA,NA,NA,"02","1",NA,NA,NA,"0",NA,-52.2158165556546,-32.2418238635334,TRUE
"54","02","1",NA,NA,NA,"02","2",NA,NA,NA,"0",NA,-52.2125286557672,-32.2393380885357,TRUE
"55","10","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2100075759478,-32.2358960853671,TRUE
"56","02","2",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2100045056984,-32.2358916562266,TRUE
"57","47","1","DCIM/20190316154044815.jpg",NA,NA,"02","3",NA,NA,NA,"0","Fio  dental",-52.2099679595867,-32.2359203662927,TRUE
"58","10","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.209899971705,-32.2358759702875,TRUE
"59","04","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2099988862957,-32.235880890125,TRUE
"60","21","2",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2100275672906,-32.2359044063383,TRUE
"61","43","1","DCIM/20190316154341133.jpg",NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2100262399387,-32.2358858741416,TRUE
"62","04","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2098547204981,-32.2359126986246,TRUE
"63","02","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.209862507085,-32.2358708611616,TRUE
"64","08","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2098819546717,-32.2358574077641,TRUE
"65","21","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2098523585722,-32.2358502009491,TRUE
"66","09","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2098279926184,-32.235777458175,TRUE
"67","27","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2097880010294,-32.2357376393083,TRUE
"68","02","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2097377041159,-32.2357553424458,TRUE
"69","21","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2096370155903,-32.2356582361788,TRUE
"70","08","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2095681172097,-32.2355883378317,TRUE
"71","21","3",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2095581596943,-32.2355913916547,TRUE
"72","27","2",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2095723511653,-32.2355760155272,TRUE
"73","02","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2095665685734,-32.2355846343383,TRUE
"74","28","1","DCIM/20190316154844236.jpg",NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2095573224227,-32.2355913799329,TRUE
"75","02","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2094134597399,-32.2356099375803,TRUE
"76","27","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2094888600963,-32.2354864137772,TRUE
"77","04","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2094265777251,-32.235451432921,TRUE
"78","35","1","DCIM/20190316155020238.jpg",NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2094262284902,-32.2354574696494,TRUE
"79","27","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2094087138337,-32.235409680901,TRUE
"80","10","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093871155258,-32.2354137594302,TRUE
"81","10","1",NA,NA,NA,"02","3",NA,NA,NA,"0","Tetrapack",-52.2093522627595,-32.2353948118191,TRUE
"82","10","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093651108969,-32.235379560799,TRUE
"83","10","2",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093651294219,-32.2353523001267,TRUE
"84","02","4",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093519741153,-32.2353681594301,TRUE
"85","21","4",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093383124292,-32.2353629811938,TRUE
"86","27","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093406396835,-32.2353521287973,TRUE
"87","08","1","DCIM/20190316155601197.jpg",NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093339477486,-32.2353559801314,TRUE
"88","23","2",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2093193431841,-32.2353830803269,TRUE
"89","02","1",NA,NA,NA,"02","3",NA,NA,NA,"0",NA,-52.2092638237984,-32.2352845452576,TRUE
"90","32","1",NA,NA,NA,"03","1",NA,NA,NA,"0","In front of  the  pedestrian path",-52.1513271126044,-32.186179590677,TRUE
"91","43","1","DCIM/20190318130004463.jpg",NA,NA,"03","1",NA,NA,NA,"0","Ice scream stick",-52.1512731470003,-32.1860836376317,TRUE
"92","32","2",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1513119336597,-32.1860830876184,TRUE
"93","14","2",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1513265555186,-32.1860792568852,TRUE
"94","43","1","DCIM/20190318130353188.jpg",NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1512347769732,-32.1860313370877,TRUE
"95","43","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1511839700351,-32.1860003165156,TRUE
"96","21","4",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1511847413509,-32.1860138723803,TRUE
"97","04","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1511353849763,-32.1859837314812,TRUE
"98","10","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.151077219956,-32.1859154650943,TRUE
"99","43","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1510399476782,-32.1858766773546,TRUE
"100","05","1",NA,NA,NA,"03","1",NA,NA,NA,"0","Broken",-52.1510428769758,-32.1858980139846,TRUE
"101","14","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1510044651486,-32.1858623357207,TRUE
"102","10","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509807301707,-32.1858812270792,TRUE
"103","09","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509722193585,-32.1859049014787,TRUE
"104","14","7",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1510088681844,-32.1858422432356,TRUE
"105","43","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1510265500928,-32.1858464094641,TRUE
"106","43","1","DCIM/20190318131329131.jpg",NA,NA,"03","1",NA,NA,NA,"0","Tend  metal  holder",-52.1509872296278,-32.185820316261,TRUE
"107","14","2",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509621129273,-32.1858244650997,TRUE
"108","21","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509729427845,-32.185807683964,TRUE
"109","32","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509640118466,-32.1857938800042,TRUE
"110","08","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509591267235,-32.1857918751372,TRUE
"111","10","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509507105901,-32.1858058462387,TRUE
"112","43","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1509235305188,-32.1858031286586,TRUE
"113","14","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1508766289896,-32.185731026688,TRUE
"114","32","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1508867715142,-32.1857207383029,TRUE
"115","14","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1508516158121,-32.1857279429307,TRUE
"116","14","5",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1508121487735,-32.1857392625881,TRUE
"117","04","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.150801311269,-32.1857635631826,TRUE
"118","04","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1507796435299,-32.1857183106309,TRUE
"119","05","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1507831067343,-32.1857077340488,TRUE
"120","05","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.15076954319,-32.1856456732708,TRUE
"121","14","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.15076954319,-32.1856456732708,TRUE
"122","14","2",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1507573235334,-32.1856775277028,TRUE
"123","14","2",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1507228809886,-32.1856671397705,TRUE
"124","32","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1507122691001,-32.1856562127714,TRUE
"125","47","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1507019018568,-32.1855959793144,TRUE
"126","10","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1506629392632,-32.185595677135,TRUE
"127","14","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1506729262828,-32.185615816424,TRUE
"128","14","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1506388419754,-32.1855562408559,TRUE
"129","02","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1506220666612,-32.1855511107054,TRUE
"130","14","2",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.15062690709,-32.1855253747039,TRUE
"131","10","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1505994910774,-32.1855416295491,TRUE
"132","32","1",NA,NA,NA,"03","1",NA,NA,NA,"0",NA,-52.1505677581774,-32.1855132836477,TRUE
"133","06","1",NA,NA,NA,"03","2",NA,NA,NA,"0",NA,-52.1465189850599,-32.1833295493406,TRUE
"134","43","1",NA,NA,NA,"03","2",NA,NA,NA,"0","PAper napkin",-52.1463690404835,-32.1831341695641,TRUE
"135","06","1",NA,NA,NA,"03","2",NA,NA,NA,"0",NA,-52.1456621296897,-32.1826267659189,TRUE
"136","10","2",NA,NA,NA,"03","2",NA,NA,NA,"0",NA,-52.1452811480049,-32.1823152565562,TRUE
"137","43","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.141868817819,-32.1791235439557,TRUE
"138","14","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1414789641299,-32.1788576534032,TRUE
"139","14","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1413938108395,-32.17878762576,TRUE
"140","09","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1413859225905,-32.1787668012649,TRUE
"141","14","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1411571030741,-32.1786070129962,TRUE
"142","10","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1411438116075,-32.1785861074164,TRUE
"143","14","1",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1410991908051,-32.1785596804964,TRUE
"144","14","2",NA,NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1410499403324,-32.1785046285954,TRUE
"145","01","1","DCIM/20190318135140654.jpg",NA,NA,"03","3",NA,NA,NA,"0",NA,-52.1410173515021,-32.17849220199,TRUE
